genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label,pca1,pca2
['filmi'],0.462,0.251,0.382,70.469,0,0.0,0,Instrumental / Acoustic,-47.182288132537195,-0.2898905421513512
['filmi'],0.598,0.454,0.748,93.667,2,0.0,0,Happy / Dance,-23.983737059512052,0.11137248402852595
['classic soundtrack'],0.542,0.41,0.81,154.114,0,0.0,0,Instrumental / Acoustic,36.46316196387977,0.025667497269326267
['classic kollywood'],0.342,0.582,0.511,78.044,0,0.0,1,Instrumental / Acoustic,-39.606590665904264,-0.049789094375899845
['filmi'],0.463,0.1,0.559,70.943,0,0.0,0,Instrumental / Acoustic,-46.708377314070304,-0.2456703388744539
"['vintage chinese pop', 'vintage taiwan pop']",0.243,0.272,0.134,75.906,0,0.0,0,Instrumental / Acoustic,-41.74538214314687,-0.5407660137004446
"['vintage chinese pop', 'vintage taiwan pop']",0.577,0.393,0.624,121.094,0,0.0,1,Instrumental / Acoustic,3.443012174245382,-0.06389954815763477
['easy listening'],0.486,0.558,0.811,130.152,0,0.0,0,Instrumental / Acoustic,12.501474553665815,0.12999949304323188
[],0.578,0.17,0.604,96.363,0,0.0,0,Instrumental / Acoustic,-21.28832409216841,-0.17207567596601459
['guitarra argentina'],0.636,0.398,0.608,116.215,0,0.0,0,Instrumental / Acoustic,-1.4360128825545075,-0.0470920680381719
['vintage chanson'],0.67,0.566,0.79,124.982,1,0.0,1,Mainstream / Party,7.331391396683699,0.184881218104756
['classic soundtrack'],0.171,0.53,0.298,84.807,0,0.0,1,Instrumental / Acoustic,-32.84379746223247,-0.3036856127990497
['classic bollywood'],0.76,0.199,0.878,83.278,2,0.0,0,Happy / Dance,-34.37309381688975,0.12686784801479345
['classic bollywood'],0.635,0.228,0.579,103.03,0,0.0,0,Instrumental / Acoustic,-14.621291114534216,-0.14873516175376156
['ghazal'],0.41,0.115,0.168,95.724,0,0.0,0,Instrumental / Acoustic,-21.92772293102182,-0.5828477095884492
['trad jazz catala'],0.817,0.646,0.963,98.93,1,0.0,1,Mainstream / Party,-18.720345127621854,0.4458405524350464
['classic peruvian pop'],0.799,0.748,0.962,152.046,1,0.0,1,Mainstream / Party,34.39573102277589,0.42078555120074257
