genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label
['new orleans jazz'],0.744,0.237,0.621,77.855,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.782,0.409,0.907,106.03,1,0.0,,Mainstream / Party
['new orleans jazz'],0.8,0.337,0.698,117.917,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.794,0.269,0.747,128.424,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.796,0.397,0.871,117.474,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.703,0.228,0.453,84.776,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.75,0.329,0.887,96.055,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.802,0.383,0.96,107.059,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.763,0.242,0.786,146.962,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.783,0.3,0.925,99.102,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.73,0.213,0.706,140.34,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.724,0.335,0.867,106.338,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.751,0.282,0.77,154.265,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.801,0.341,0.962,107.101,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.757,0.382,0.907,101.399,0,0.0,,Instrumental / Acoustic
['harlem renaissance'],0.713,0.231,0.675,108.482,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.83,0.416,0.947,122.8,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.761,0.387,0.884,106.68,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.777,0.554,0.966,143.177,1,0.0,,Mainstream / Party
['vintage chanson'],0.796,0.27,0.771,127.239,0,0.0,1.0,Instrumental / Acoustic
['vintage chanson'],0.725,0.403,0.881,118.157,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.714,0.35,0.799,122.693,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.834,0.242,0.693,92.524,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.794,0.327,0.686,108.723,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.801,0.398,0.878,106.301,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.71,0.311,0.775,106.585,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.753,0.316,0.883,105.504,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.728,0.323,0.757,104.668,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.778,0.38,0.963,107.463,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.813,0.266,0.882,111.349,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.757,0.345,0.763,108.254,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.889,0.266,0.871,105.866,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.737,0.287,0.83,108.152,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.708,0.277,0.653,107.67,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.725,0.289,0.961,111.29,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.791,0.25,0.841,107.301,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.767,0.274,0.755,112.914,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.726,0.261,0.746,109.959,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.765,0.226,0.828,103.741,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.867,0.361,0.935,106.596,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.722,0.306,0.623,108.303,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.709,0.217,0.864,111.983,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.728,0.218,0.822,116.464,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.723,0.316,0.843,90.138,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.748,0.289,0.76,65.83,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.728,0.5,0.867,137.823,1,0.0,,Mainstream / Party
['vintage chanson'],0.81,0.28,0.963,136.076,1,0.0,,Mainstream / Party
['vintage chanson'],0.866,0.449,0.911,116.133,1,0.0,,Mainstream / Party
['vintage chanson'],0.714,0.258,0.842,129.845,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.737,0.267,0.937,126.088,0,0.0,,Instrumental / Acoustic
['vintage jazz'],0.797,0.449,0.902,113.216,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.747,0.38,0.797,100.221,0,0.0,,Instrumental / Acoustic
['french folk'],0.702,0.318,0.717,119.004,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.71,0.317,0.711,102.213,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.766,0.238,0.64,82.728,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.798,0.29,0.908,99.312,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.73,0.283,0.962,126.043,0,0.0,,Instrumental / Acoustic
['vintage country folk'],0.707,0.369,0.595,81.0,2,0.0,2.0,Happy / Dance
['vintage country folk'],0.703,0.445,0.431,107.124,2,0.0,,Happy / Dance
['vintage country folk'],0.776,0.478,0.517,79.497,2,0.0,,Happy / Dance
['vintage country folk'],0.708,0.352,0.761,109.628,2,0.0,,Happy / Dance
['vintage country folk'],0.712,0.329,0.489,132.592,2,0.0,,Happy / Dance
['vintage country folk'],0.783,0.35,0.53,50.702,2,0.0,,Happy / Dance
['vintage country folk'],0.733,0.373,0.591,83.854,2,0.0,1.0,Happy / Dance
['vintage chanson'],0.721,0.167,0.777,104.227,2,0.0,,Happy / Dance
['vintage chanson'],0.713,0.279,0.771,110.583,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.775,0.217,0.904,87.487,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.705,0.221,0.923,139.77,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.743,0.282,0.868,103.266,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.703,0.585,0.83,123.545,1,0.0,,Mainstream / Party
['vintage chanson'],0.727,0.191,0.64,133.108,0,0.0,,Instrumental / Acoustic
